lines,pct,type,wal_mean,wal_std,wal_ci_lo,wal_ci_hi,nowal_mean,nowal_std,nowal_ci_lo,nowal_ci_hi,delta_ms,speedup_x,p_value,cohens_d,significant
1000,10,kill,16.663,5.793334042961215,12.518698483772745,20.807301516227255,19.8533,8.759166817936762,13.587369526239847,26.119230473760155,3.1903000000000006,1.19146012122667,0.3513666462453029,-0.42962235859736725,False
1000,50,kill,29.632800000000003,2.815591068792958,27.618647484549637,31.64695251545037,26.5351,5.780475440845867,22.399996973597087,30.670203026402913,-3.0977000000000032,0.8954638103722901,0.15150283219987426,0.6813362632918961,False
1000,100,kill,26.3031,5.8704237865194475,22.103651803338856,30.502548196661145,29.969099999999997,9.980970565698176,22.829143777537876,37.109056222462115,3.665999999999997,1.1393752067246825,0.33309248523881274,-0.4477367963127437,False
10000,10,kill,32.95700000000001,9.173225144710859,26.394870042707346,39.51912995729267,24.213600000000003,8.509362402018667,18.126368840308828,30.300831159691178,-8.743400000000005,0.7347027945504748,0.04039408247209854,0.988231453542874,True
10000,50,kill,38.4036,3.253472647290379,36.076205873374164,40.73099412662583,39.34850000000001,7.596602328965524,33.914218062061686,44.78278193793833,0.9449000000000112,1.0246044641648182,0.723858547686498,-0.16170048281252958,False
10000,100,kill,46.54430000000001,5.327739546728779,42.733064722034555,50.35553527796546,54.81210000000001,5.118330488439457,51.150666938054634,58.47353306194538,8.267800000000001,1.1776329217541137,0.0023499677065266164,-1.5826313980927207,True
100000,10,kill,45.24490000000001,5.527991667665371,41.290412984387295,49.19938701561272,56.995000000000005,11.2106586881513,48.97537788695094,65.01462211304907,11.750099999999996,1.2596999882859725,0.010689800101958143,-1.329424984716963,True
100000,50,kill,116.82770000000001,8.92893847180802,110.44032220120499,123.21507779879502,136.24880000000002,3.3327245043990943,133.86471251008047,138.63288748991957,19.42110000000001,1.166237116711191,3.953945512991064e-05,-2.8818210248972433,True
100000,100,kill,212.87550000000002,11.625656992187576,204.55900598419248,221.19199401580755,238.24589999999998,7.898411168639479,232.5957170243179,243.89608297568205,25.37039999999996,1.1191795204239097,3.353516006908567e-05,-2.5527830573522405,True
500000,10,kill,123.38410000000002,4.276796424376022,120.32466414239198,126.44353585760805,134.683,6.827348891692067,129.7990088208569,139.5669911791431,11.298899999999975,1.0915750084492246,0.0004730691026504172,-1.983428275159382,True
500000,50,kill,489.6848,10.747312623266442,481.9966356943207,497.3729643056793,542.7755,12.24151438752577,534.0184481433441,551.5325518566558,53.09069999999997,1.108418108954985,6.624420744598659e-09,-4.609100825494567,True
500000,100,kill,966.8874,12.656197561317974,957.8337016711821,975.9410983288178,1080.0518,20.976402179592196,1065.0461858384106,1095.0574141615893,113.1644,1.117039895234957,3.44193404883164e-10,-6.532522058676178,True
1000000,10,kill,213.43779999999998,11.646428673393592,205.1064468185931,221.76915318140686,232.03920000000002,4.836895763009802,228.57909321247072,235.49930678752932,18.60140000000004,1.0871513855558859,0.0005448908613694364,-2.0860007594246937,True
1000000,50,kill,960.1321,15.15446127529594,949.291251470452,970.972948529548,1068.7493,19.01721847899365,1055.145201428699,1082.3533985713009,108.61719999999991,1.1131273498719603,7.086452505469412e-11,-6.316916645330667,True
1000000,100,kill,1622.9944999999998,30.416339385453835,1601.2359615662679,1644.7530384337317,2186.9142,42.704691505995214,2156.3651040138398,2217.4632959861606,563.9197000000004,1.3474563222487819,1.5251108357447072e-16,-15.210979728367578,True
1000,10,stop,17.8876,9.118728020459384,11.36445493689617,24.41074506310383,13.2214,6.895541509635854,8.288626760674608,18.154173239325388,-4.6662,0.7391377266933518,0.21433209518874954,0.5772195909769767,False
1000,50,stop,21.485499999999995,5.018175946829021,17.895713181059975,25.075286818940015,25.707099999999997,11.511087413156645,17.472564123766396,33.9416358762336,4.221600000000002,1.1964860021875219,0.30815588382839115,-0.4754379297424214,False
1000,100,stop,23.859600000000004,1.2692474760879204,22.951635052594675,24.767564947405333,22.892599999999998,8.57046135410587,16.76166128298567,29.023538717014326,-0.9670000000000059,0.959471240087847,0.7319172903634042,0.15784332017633224,False
10000,10,stop,24.0945,8.66197445094875,17.898096757172357,30.290903242827643,22.395000000000003,2.413608455772762,20.668408522853767,24.12159147714624,-1.699499999999997,0.9294652306542989,0.5628556891587833,0.26728950153599496,False
10000,50,stop,25.4962,7.417998424253151,20.189683598731,30.802716401269002,29.115299999999998,3.8901056555203106,26.332486054368005,31.89811394563199,3.619099999999996,1.1419466430291572,0.19399748429127237,-0.6110432612707607,False
10000,100,stop,26.475099999999998,4.12878928850685,23.521542069168916,29.42865793083108,42.5896,6.6238853016102945,37.851157905135494,47.3280420948645,16.1145,1.6086662562181069,9.308658405373187e-06,-2.9197257265741343,True
100000,10,stop,25.7997,4.667094791076016,22.461061510384056,29.138338489615947,46.400800000000004,4.088573339877316,43.47601082575122,49.32558917424879,20.601100000000002,1.7985015329635616,5.009802863630405e-09,-4.695535880152065,True
100000,50,stop,65.7383,2.1412288294341635,64.20655716960079,67.2700428303992,111.7345,5.109604186670866,108.07930935828837,115.38969064171162,45.9962,1.6996864841348196,5.135773527528963e-12,-11.741345755898964,True
100000,100,stop,126.45840000000001,6.7627899929606645,121.62059147490629,131.29620852509373,219.95880000000002,6.3116675345479525,215.44370504097031,224.47389495902974,93.50040000000001,1.739376743656412,2.9858314540332736e-17,-14.294251487224567,True
500000,10,stop,68.56410000000001,3.1848078417526073,66.28582571621276,70.84237428378727,120.474,4.523277941198542,117.23824188713886,123.70975811286115,51.90989999999999,1.7571002900935035,1.5827372463408634e-15,-13.270365189187975,True
500000,50,stop,321.45020000000005,7.966398835107366,315.7513815775893,327.1490184224108,536.4248,29.129690759315217,515.586674546534,557.262925453466,214.97459999999995,1.6687648662218904,4.0243290840647647e-10,-10.067094796733347,True
500000,100,stop,667.908,16.79640382145337,655.8925765308513,679.9234234691487,1077.197,30.847826644135985,1055.1297941759312,1099.2642058240685,409.2889999999999,1.6127924804014921,2.885533604265282e-15,-16.47930729656899,True
1000000,10,stop,127.3676,2.4841622867008284,125.59053735265668,129.14466264734332,207.2126,3.3941493190488834,204.78457184472276,209.64062815527726,79.84500000000001,1.626886272490021,9.546157931648959e-21,-26.846192740666517,True
1000000,50,stop,668.4498,16.519230199982076,656.6326545951237,680.2669454048763,1073.5067,35.72087707349863,1047.9535238981434,1099.0598761018564,405.0568999999999,1.6059645765471093,1.3352507394103781e-13,-14.555398686633975,True
1000000,100,stop,1427.8117000000002,49.85670626917822,1392.1463608613926,1463.4770391386078,2269.9502,58.29033646954984,2228.251805255154,2311.6485947448464,842.1385,1.5898106171843247,1.210861533585139e-17,-15.526812952450307,True
